tus,erg,typ,adr,dau,det,kev,cal_abc,remove_VD
-235528.05555555556,32,0,12,4,3,429.4805,"0.002252, 12.903900, 14.249700",False
-234130.41666666666,33,0,12,4,3,442.5308,"0.002252, 12.903900, 14.249700",False
-233708.0,977,0,12,4,3,14770.9593,"0.002252, 12.903900, 14.249700",False
-232633.02777777778,211,0,12,4,3,2837.2339,"0.002252, 12.903900, 14.249700",False
-231162.77777777778,87,0,12,4,3,1153.9344,"0.002252, 12.903900, 14.249700",False
-229260.66666666666,216,0,12,4,3,2906.5614,"0.002252, 12.903900, 14.249700",False
-225519.38888888888,259,0,12,4,3,3507.4262,"0.002252, 12.903900, 14.249700",False
-223278.80555555556,37,0,12,4,3,494.777,"0.002252, 12.903900, 14.249700",False
-220989.19444444444,1803,0,12,4,3,30600.8033,"0.002252, 12.903900, 14.249700",False
-220835.88888888888,290,0,12,4,3,3945.7739,"0.002252, 12.903900, 14.249700",False
-220393.5,61,0,12,4,3,809.7673,"0.002252, 12.903900, 14.249700",False
-219605.58333333334,55,0,12,4,3,730.7765,"0.002252, 12.903900, 14.249700",False
-217938.11111111112,70,0,12,4,3,928.5575,"0.002252, 12.903900, 14.249700",False
-216419.97222222222,1819,0,12,4,3,30937.7736,"0.002252, 12.903900, 14.249700",False
-213668.41666666666,1702,0,12,4,3,28500.2901,"0.002252, 12.903900, 14.249700",False
-211107.05555555556,33,0,12,4,3,442.5308,"0.002252, 12.903900, 14.249700",False
-209570.94444444444,175,0,12,4,3,2341.3997,"0.002252, 12.903900, 14.249700",False
-207602.5,97,0,12,4,3,1287.1171,"0.002252, 12.903900, 14.249700",False
-207011.91666666666,431,0,12,4,3,5994.1644,"0.002252, 12.903900, 14.249700",False
-202016.11111111112,94,0,12,4,3,1247.115,"0.002252, 12.903900, 14.249700",False
-200362.38888888888,79,0,12,4,3,1047.7125,"0.002252, 12.903900, 14.249700",False
-199218.30555555556,60,0,12,4,3,796.5909,"0.002252, 12.903900, 14.249700",False
-198112.22222222222,181,0,12,4,3,2423.6334,"0.002252, 12.903900, 14.249700",False
-189134.91666666666,32,0,12,4,3,429.4805,"0.002252, 12.903900, 14.249700",False
-186521.27777777778,33,0,12,4,3,442.5308,"0.002252, 12.903900, 14.249700",False
-185559.41666666666,79,0,12,4,3,1047.7125,"0.002252, 12.903900, 14.249700",False
-185466.97222222222,58,0,12,4,3,770.2516,"0.002252, 12.903900, 14.249700",False
-184941.61111111112,77,0,12,4,3,1021.2021,"0.002252, 12.903900, 14.249700",False
-182373.05555555556,33,0,12,4,3,442.5308,"0.002252, 12.903900, 14.249700",False
-175150.75,32,0,12,4,3,429.4805,"0.002252, 12.903900, 14.249700",False
-170916.97222222222,63,0,12,4,3,836.1336,"0.002252, 12.903900, 14.249700",False
-170188.77777777778,1726,0,12,4,3,28995.2603,"0.002252, 12.903900, 14.249700",False
-169897.19444444444,1900,0,12,4,3,32661.3797,"0.002252, 12.903900, 14.249700",False
-168819.97222222222,1824,0,12,4,3,31043.3133,"0.002252, 12.903900, 14.249700",False
-168638.16666666666,48,0,12,4,3,638.8255,"0.002252, 12.903900, 14.249700",False
-168535.38888888888,1497,0,12,4,3,24378.1403,"0.002252, 12.903900, 14.249700",False
-168258.63888888888,67,0,12,4,3,888.9202,"0.002252, 12.903900, 14.249700",False
-168021.27777777778,240,0,12,4,3,3240.9009,"0.002252, 12.903900, 14.249700",False
