######    yyyy-MMM-dd HH:mm:ss.SSSSSS      Corr 
 
000462    2021-Jan-03 23:11:57.722336      94212 
000463    2021-Jan-03 23:12:04.306106      94185 
000464    2021-Jan-03 23:12:07.222927      94174 
000465    2021-Jan-03 23:12:12.472706      94155 
000466    2021-Jan-03 23:12:17.389480      94136 
000467    2021-Jan-03 23:12:19.472729      94128 
000468    2021-Jan-03 23:12:25.221998      94105 
000469    2021-Jan-03 23:12:29.721459      94090 
000470    2021-Jan-03 23:12:41.140932      94045 
000471    2021-Jan-04 00:28:48.125264      76931 
000472    2021-Jan-04 00:29:34.872071      76757 
000473    2021-Jan-04 00:30:02.456982      76653 
000474    2021-Jan-04 02:04:59.347548      55355 
000475    2021-Jan-04 02:05:23.094874      55269 
000476    2021-Jan-04 02:05:35.593806      55221 
000477    2021-Jan-04 02:05:45.264131      55183 
000478    2021-Jan-04 02:05:46.346108      55180 
000479    2021-Jan-04 02:06:08.011038      55101 
000480    2021-Jan-04 02:06:23.844540      55041 
000481    2021-Jan-04 02:06:48.762462      54948 
000482    2021-Jan-04 02:08:56.929441      54469 
000483    2021-Jan-04 03:51:04.320804      31704 
000484    2021-Jan-04 11:16:35.402374     -69065 
000485    2021-Jan-04 11:16:39.067439     -69080 
000486    2021-Jan-04 11:16:45.320325     -69102 
000487    2021-Jan-04 11:17:12.319415     -69202 
000488    2021-Jan-04 11:17:55.820006     -69365 
000489    2021-Jan-04 11:18:28.486694     -69484 
000490    2021-Jan-04 11:18:52.903487     -69576 
000491    2021-Jan-04 12:49:25.272737     -89897 
000492    2021-Jan-04 12:49:27.189548     -89905 
000493    2021-Jan-04 12:49:42.774339     -89965 
000494    2021-Jan-04 12:49:45.857653     -89976 
000495    2021-Jan-04 12:49:47.525169     -89980 
000496    2021-Jan-04 12:49:52.608023     -90002 
000497    2021-Jan-04 12:49:53.691170     -90006 
000498    2021-Jan-04 12:49:54.857691     -90010 
000499    2021-Jan-04 12:49:55.940917     -90013 
000500    2021-Jan-04 12:49:57.774388     -90021 
000501    2021-Jan-04 12:49:58.774343     -90025 
000502    2021-Jan-04 12:49:59.857727     -90028 
000503    2021-Jan-04 12:50:01.774362     -90036 
000504    2021-Jan-04 12:50:03.857744     -90043 
000505    2021-Jan-04 12:50:05.357255     -90047 
000506    2021-Jan-04 12:50:06.524397     -90051 
000507    2021-Jan-04 12:50:07.773412     -90059 
000508    2021-Jan-04 12:50:08.773413     -90062 
000509    2021-Jan-04 12:50:10.106489     -90066 
000510    2021-Jan-04 12:50:11.272978     -90070 
000511    2021-Jan-04 12:50:14.106486     -90081 
000512    2021-Jan-04 12:50:15.106511     -90085 
000513    2021-Jan-04 12:50:16.856724     -90092 
000514    2021-Jan-04 12:50:17.856785     -90096 
000515    2021-Jan-04 12:50:18.939944     -90100 
000516    2021-Jan-04 12:50:20.023239     -90104 
000517    2021-Jan-04 12:50:21.023246     -90107 
000518    2021-Jan-04 12:50:22.023207     -90111 
000519    2021-Jan-04 12:50:24.690261     -90122 
000520    2021-Jan-04 12:50:26.023256     -90126 
000521    2021-Jan-04 12:50:27.023257     -90130 
000522    2021-Jan-04 12:50:28.106594     -90134 
000523    2021-Jan-04 12:50:29.106526     -90137 
000524    2021-Jan-04 12:50:32.772487     -90153 
000525    2021-Jan-04 12:50:33.772550     -90156 
000526    2021-Jan-04 12:50:35.271998     -90160 
000527    2021-Jan-04 12:50:36.272023     -90164 
000528    2021-Jan-04 12:50:38.272060     -90171 
