Full photon list bin count,Filtered (by=energy flags) bin count,Filtered+ (by=energy flags background) bin count. bg is 10 counts pr 2 ms bin,left bin edge [ms]
30,17,7,1320.142604
28,14,4,1322.142604
31,12,2,1324.142604
23,10,0,1326.142604
27,10,0,1328.142604
44,17,7,1330.142604
16,7,-3,1332.142604
11,6,-4,1334.142604
21,16,6,1336.142604
19,11,1,1338.142604
28,13,3,1340.142604
25,13,3,1342.142604
26,13,3,1344.142604
32,14,4,1346.142604
27,15,5,1348.142604
23,10,0,1350.142604
23,9,-1,1352.142604
16,8,-2,1354.142604
21,9,-1,1356.142604
19,8,-2,1358.142604
19,7,-3,1360.142604
18,9,-1,1362.142604
15,6,-4,1364.142604
11,6,-4,1366.142604
29,16,6,1368.142604
25,13,3,1370.142604
22,13,3,1372.142604
19,10,0,1374.142604
17,11,1,1376.142604
23,8,-2,1378.142604
24,9,-1,1380.142604
21,3,-7,1382.142604
25,11,1,1384.142604
16,11,1,1386.142604
23,11,1,1388.142604
43,10,0,1390.142604
18,9,-1,1392.142604
32,12,2,1394.142604
13,8,-2,1396.142604
18,10,0,1398.142604
19,8,-2,1400.142604
20,10,0,1402.142604
13,9,-1,1404.142604
18,11,1,1406.142604
15,10,0,1408.142604
15,8,-2,1410.142604
18,16,6,1412.142604
28,8,-2,1414.142604
29,19,9,1416.142604
18,12,2,1418.142604
27,13,3,1420.142604
25,6,-4,1422.142604
18,10,0,1424.142604
32,12,2,1426.142604
21,12,2,1428.142604
25,9,-1,1430.142604
28,10,0,1432.142604
28,11,1,1434.142604
51,19,9,1436.142604
28,7,-3,1438.142604
41,10,0,1440.142604
22,14,4,1442.142604
20,10,0,1444.142604
31,12,2,1446.142604
12,8,-2,1448.142604
21,5,-5,1450.142604
12,9,-1,1452.142604
16,9,-1,1454.142604
19,6,-4,1456.142604
24,11,1,1458.142604
13,3,-7,1460.142604
14,14,4,1462.142604
23,10,0,1464.142604
37,14,4,1466.142604
23,6,-4,1468.142604
22,9,-1,1470.142604
13,8,-2,1472.142604
25,8,-2,1474.142604
17,6,-4,1476.142604
24,11,1,1478.142604
13,8,-2,1480.142604
24,13,3,1482.142604
22,11,1,1484.142604
15,4,-6,1486.142604
20,16,6,1488.142604
15,6,-4,1490.142604
27,11,1,1492.142604
15,8,-2,1494.142604
13,9,-1,1496.142604
18,13,3,1498.142604
18,9,-1,1500.142604
13,6,-4,1502.142604
31,13,3,1504.142604
22,13,3,1506.142604
24,8,-2,1508.142604
22,10,0,1510.142604
9,5,-5,1512.142604
13,5,-5,1514.142604
