tus;erg;typ;adr;dau;det;kev;cal_abc
-758859.3333333334;71;0;1;1;1;693.0438;0.005286, 8.364000, 72.553100
-755716.1944444445;37;0;1;1;1;389.2576;0.005286, 8.364000, 72.553100
-754159.7777777778;33;0;1;1;1;354.3216;0.005286, 8.364000, 72.553100
-753007.7222222222;39;0;1;1;1;406.7891;0.005286, 8.364000, 72.553100
-749211.6666666666;785;0;1;1;1;9895.6585;0.005286, 8.364000, 72.553100
-749200.4444444445;48;0;1;1;1;486.204;0.005286, 8.364000, 72.553100
-748990.75;128;0;1;1;1;1229.7509;0.005286, 8.364000, 72.553100
-748436.6388888889;1774;0;1;1;1;31545.7328;0.005286, 8.364000, 72.553100
-748145.8055555555;65;0;1;1;1;638.5465;0.005286, 8.364000, 72.553100
-745361.4722222222;119;0;1;1;1;1142.7241;0.005286, 8.364000, 72.553100
-744725.7777777778;294;0;1;1;1;2988.4698;0.005286, 8.364000, 72.553100
-744243.5;584;0;1;1;1;6759.9511;0.005286, 8.364000, 72.553100
-741534.5555555555;83;0;1;1;1;803.1804;0.005286, 8.364000, 72.553100
-738743.3611111111;220;0;1;1;1;2168.4755;0.005286, 8.364000, 72.553100
-738683.5277777778;1388;0;1;1;1;21865.4967;0.005286, 8.364000, 72.553100
-738619.6111111111;398;0;1;1;1;4238.7486;0.005286, 8.364000, 72.553100
-735656.75;1798;0;1;1;1;32199.627;0.005286, 8.364000, 72.553100
-733989.2777777778;28;0;1;1;1;310.8893;0.005286, 8.364000, 72.553100
-733682.3055555555;548;0;1;1;1;6243.432;0.005286, 8.364000, 72.553100
-728619.4444444445;1784;0;1;1;1;31817.4487;0.005286, 8.364000, 72.553100
-727756.5833333334;544;0;1;1;1;6186.8868;0.005286, 8.364000, 72.553100
-726764.4166666666;139;0;1;1;1;1337.2799;0.005286, 8.364000, 72.553100
-726270.8333333334;1687;0;1;1;1;29226.4132;0.005286, 8.364000, 72.553100
-725683.4166666666;1812;0;1;1;1;32583.8775;0.005286, 8.364000, 72.553100
-725566.3888888889;74;0;1;1;1;720.4352;0.005286, 8.364000, 72.553100
-724441.0555555555;598;0;1;1;1;6964.5198;0.005286, 8.364000, 72.553100
-722569.6944444445;1826;0;1;1;1;32970.2;0.005286, 8.364000, 72.553100
-722233.9722222222;1687;0;1;1;1;29226.4132;0.005286, 8.364000, 72.553100
-721022.5555555555;1855;0;1;1;1;33777.0312;0.005286, 8.364000, 72.553100
-719614.75;22;0;1;1;1;259.1195;0.005286, 8.364000, 72.553100
-718772.5;70;0;1;1;1;683.9345;0.005286, 8.364000, 72.553100
-716666.8888888889;1829;0;1;1;1;33053.253;0.005286, 8.364000, 72.553100
-714520.5277777778;1804;0;1;1;1;32364.0521;0.005286, 8.364000, 72.553100
-714321.7222222222;153;0;1;1;1;1475.9851;0.005286, 8.364000, 72.553100
-712986.5277777778;70;0;1;1;1;683.9345;0.005286, 8.364000, 72.553100
-712634.6944444445;73;0;1;1;1;711.2942;0.005286, 8.364000, 72.553100
-711638.25;190;0;1;1;1;1852.5377;0.005286, 8.364000, 72.553100
-709969.5555555555;1750;0;1;1;1;30897.9281;0.005286, 8.364000, 72.553100
-708681.5833333334;1109;0;1;1;1;15849.3801;0.005286, 8.364000, 72.553100
-706243.5833333334;73;0;1;1;1;711.2942;0.005286, 8.364000, 72.553100
-702073.8888888889;1982;0;1;1;1;37415.1218;0.005286, 8.364000, 72.553100
-699979.3611111111;58;0;1;1;1;575.4472;0.005286, 8.364000, 72.553100
-696736.2777777778;163;0;1;1;1;1576.3288;0.005286, 8.364000, 72.553100
-696618.0833333334;1303;0;1;1;1;19945.4635;0.005286, 8.364000, 72.553100
-694846.7777777778;208;0;1;1;1;2040.9586;0.005286, 8.364000, 72.553100
-693056.0555555555;1383;0;1;1;1;21750.4392;0.005286, 8.364000, 72.553100
-691598.7222222222;1694;0;1;1;1;29410.065;0.005286, 8.364000, 72.553100
-691066.75;46;0;1;1;1;468.4823;0.005286, 8.364000, 72.553100
-688973.7777777778;66;0;1;1;1;647.6029;0.005286, 8.364000, 72.553100
-687420.0;238;0;1;1;1;2362.6053;0.005286, 8.364000, 72.553100
-683838.7777777778;1876;0;1;1;1;34366.8386;0.005286, 8.364000, 72.553100
-683035.4444444445;1212;0;1;1;1;17974.5591;0.005286, 8.364000, 72.553100
-682529.0833333334;217;0;1;1;1;2136.4536;0.005286, 8.364000, 72.553100
-682247.6111111111;191;0;1;1;1;1862.9157;0.005286, 8.364000, 72.553100
-680965.5833333334;265;0;1;1;1;2660.2225;0.005286, 8.364000, 72.553100
-680608.0277777778;491;0;1;1;1;5453.6313;0.005286, 8.364000, 72.553100
-677969.5;39;0;1;1;1;406.7891;0.005286, 8.364000, 72.553100
-677320.8888888889;79;0;1;1;1;766.299;0.005286, 8.364000, 72.553100
-673279.5833333334;31;0;1;1;1;336.9169;0.005286, 8.364000, 72.553100
-671184.25;47;0;1;1;1;477.3379;0.005286, 8.364000, 72.553100
-671070.3888888889;41;0;1;1;1;424.3629;0.005286, 8.364000, 72.553100
-670985.7222222222;137;0;1;1;1;1317.634;0.005286, 8.364000, 72.553100
