tus,erg,typ,adr,dau,det,keV,cal_abc
257697.58333333334,232,0,11,4,2,3855.407676,"0.001654, 16.4206, -43.19642"
262717.3611111111,34,0,11,4,2,517.016004,"0.001654, 16.4206, -43.19642"
264244.8888888889,53,0,11,4,2,831.741466,"0.001654, 16.4206, -43.19642"
266641.44444444444,256,0,11,4,2,4268.873724,"0.001654, 16.4206, -43.19642"
268578.5833333333,36,0,11,4,2,550.0887640000001,"0.001654, 16.4206, -43.19642"
268593.8611111111,1639,0,11,4,2,31313.341914000004,"0.001654, 16.4206, -43.19642"
269876.47222222225,53,0,11,4,2,831.741466,"0.001654, 16.4206, -43.19642"
274432.5833333333,61,0,11,4,2,964.614714,"0.001654, 16.4206, -43.19642"
274971.3611111111,763,0,11,4,2,13448.628906000002,"0.001654, 16.4206, -43.19642"
275342.44444444444,1522,0,11,4,2,28780.421316,"0.001654, 16.4206, -43.19642"
277228.97222222225,1381,0,11,4,2,25788.096474,"0.001654, 16.4206, -43.19642"
278191.6111111111,1692,0,11,4,2,32475.635836,"0.001654, 16.4206, -43.19642"
278377.8611111111,139,0,11,4,2,2271.2239139999997,"0.001654, 16.4206, -43.19642"
282093.27777777775,1592,0,11,4,2,30290.402236,"0.001654, 16.4206, -43.19642"
282860.25,1614,0,11,4,2,30768.315364,"0.001654, 16.4206, -43.19642"
284882.6666666667,105,0,11,4,2,1699.20193,"0.001654, 16.4206, -43.19642"
285726.44444444444,105,0,11,4,2,1699.20193,"0.001654, 16.4206, -43.19642"
286333.44444444444,1607,0,11,4,2,30616.078426,"0.001654, 16.4206, -43.19642"
287242.0833333333,776,0,11,4,2,13695.188284,"0.001654, 16.4206, -43.19642"
289567.30555555556,260,0,11,4,2,4337.96998,"0.001654, 16.4206, -43.19642"
289800.75,140,0,11,4,2,2288.10598,"0.001654, 16.4206, -43.19642"
291054.8333333333,212,0,11,4,2,3512.3081559999996,"0.001654, 16.4206, -43.19642"
